codigo,fecha,maquina,casino,in,out,jackpot,billetero
70,2025-05-01,70,7,167,343,355,372
71,2025-05-01,71,8,58,262,318,247
72,2025-05-01,72,8,484,123,260,279
73,2025-05-01,73,8,90,384,396,455
74,2025-05-01,74,8,361,160,445,242
75,2025-05-01,75,8,127,403,113,257
76,2025-05-01,76,8,342,346,113,484
77,2025-05-01,77,8,365,226,456,110
78,2025-05-01,78,8,332,367,189,443
79,2025-05-01,79,8,351,420,455,140
80,2025-05-01,80,8,488,403,304,468
81,2025-05-01,81,9,70,332,251,189
82,2025-05-01,82,9,322,278,148,287
83,2025-05-01,83,9,0,0,0,0
84,2025-05-01,84,9,313,220,87,129
85,2025-05-01,85,9,45,479,437,80
86,2025-05-01,86,9,53,123,4,285
87,2025-05-01,87,9,355,415,197,202
88,2025-05-01,88,9,328,193,8,75
89,2025-05-01,89,9,247,348,467,38
90,2025-05-01,90,9,59,114,362,358
91,2025-05-01,91,10,310,460,16,396
92,2025-05-01,92,10,489,208,450,496
93,2025-05-01,93,10,122,52,80,47
94,2025-05-01,94,10,379,380,95,277
95,2025-05-01,95,10,249,47,136,53
96,2025-05-01,96,10,189,452,494,201
97,2025-05-01,97,10,401,313,425,55
98,2025-05-01,98,10,61,116,232,357
99,2025-05-01,99,10,176,110,417,152
100,2025-05-01,100,10,78,201,381,325
101,2025-05-02,1,1,780,381,374,334
102,2025-05-02,2,1,451,572,450,596
103,2025-05-02,3,1,525,736,155,453
104,2025-05-02,4,1,661,233,490,586
105,2025-05-02,5,1,770,559,307,351
106,2025-05-02,6,1,379,407,614,791
107,2025-05-02,7,1,665,927,587,498
108,2025-05-02,8,1,492,776,606,504
109,2025-05-02,9,1,723,589,837,305
110,2025-05-02,10,1,147,876,530,833
111,2025-05-02,11,2,543,558,449,814
112,2025-05-02,12,2,670,194,405,675
113,2025-05-02,13,2,276,723,276,916
114,2025-05-02,14,2,431,807,488,458
115,2025-05-02,15,2,683,359,629,210
116,2025-05-02,16,2,90,447,196,413
117,2025-05-02,17,2,348,273,803,165
118,2025-05-02,18,2,318,631,759,524
119,2025-05-02,19,2,209,115,540,642
120,2025-05-02,20,2,710,299,417,601
121,2025-05-02,21,3,575,449,257,683
122,2025-05-02,22,3,772,692,652,230
123,2025-05-02,23,3,248,615,520,474
124,2025-05-02,24,3,552,417,342,260
125,2025-05-02,25,3,787,209,327,780
126,2025-05-02,26,3,483,25,753,76
127,2025-05-02,27,3,230,386,578,602
128,2025-05-02,28,3,813,677,572,480
129,2025-05-02,29,3,499,187,695,539
130,2025-05-02,30,3,420,488,352,495
131,2025-05-02,31,4,499,382,427,372
132,2025-05-02,32,4,503,782,543,229
133,2025-05-02,33,4,559,277,447,408
134,2025-05-02,34,4,0,0,0,0
135,2025-05-02,35,4,638,234,732,773
136,2025-05-02,36,4,344,424,56,34
137,2025-05-02,37,4,0,0,0,0
138,2025-05-02,38,4,495,536,721,419
139,2025-05-02,39,4,666,775,54,512
140,2025-05-02,40,4,482,356,853,364
141,2025-05-02,41,5,373,480,460,480
142,2025-05-02,42,5,367,163,315,922
143,2025-05-02,43,5,837,405,771,302
144,2025-05-02,44,5,733,238,548,500
145,2025-05-02,45,5,689,556,765,593
146,2025-05-02,46,5,417,658,540,614
147,2025-05-02,47,5,676,238,816,328
148,2025-05-02,48,5,0,0,0,0
149,2025-05-02,49,5,356,513,569,408
150,2025-05-02,50,5,175,22,258,178
151,2025-05-02,51,6,601,307,714,453
152,2025-05-02,52,6,763,609,437,787
153,2025-05-02,53,6,784,189,479,163
154,2025-05-02,54,6,862,777,831,126
155,2025-05-02,55,6,167,167,364,311
156,2025-05-02,56,6,445,816,785,346
157,2025-05-02,57,6,596,662,688,568
158,2025-05-02,58,6,612,597,510,647
159,2025-05-02,59,6,609,189,280,131
160,2025-05-02,60,6,630,574,758,420
161,2025-05-02,61,7,191,735,383,298
162,2025-05-02,62,7,401,183,348,243
163,2025-05-02,63,7,442,760,320,898
164,2025-05-02,64,7,0,0,0,0
165,2025-05-02,65,7,741,260,459,577
166,2025-05-02,66,7,514,654,805,698
167,2025-05-02,67,7,254,257,409,687
168,2025-05-02,68,7,684,428,490,320
169,2025-05-02,69,7,0,0,0,0
170,2025-05-02,70,7,540,809,513,710
171,2025-05-02,71,8,267,730,806,360
172,2025-05-02,72,8,893,408,433,346
173,2025-05-02,73,8,495,624,679,514
174,2025-05-02,74,8,510,203,771,246
175,2025-05-02,75,8,476,494,314,266
176,2025-05-02,76,8,670,523,610,641
177,2025-05-02,77,8,668,382,741,307
178,2025-05-02,78,8,642,839,374,642
179,2025-05-02,79,8,497,785,680,510
180,2025-05-02,80,8,731,580,355,675
181,2025-05-02,81,9,308,344,475,498
182,2025-05-02,82,9,638,462,437,413
183,2025-05-02,83,9,460,111,185,404
184,2025-05-02,84,9,671,564,447,201
185,2025-05-02,85,9,223,858,672,471
186,2025-05-02,86,9,173,170,404,331
187,2025-05-02,87,9,372,619,548,666
188,2025-05-02,88,9,746,626,228,564
189,2025-05-02,89,9,385,475,580,194
190,2025-05-02,90,9,87,255,844,620
191,2025-05-02,91,10,478,516,498,554
192,2025-05-02,92,10,0,0,0,0
193,2025-05-02,93,10,514,512,562,528
194,2025-05-02,94,10,769,719,366,663
195,2025-05-02,95,10,531,261,452,198
196,2025-05-02,96,10,370,947,902,689
197,2025-05-02,97,10,658,416,656,536
198,2025-05-02,98,10,240,287,628,529
199,2025-05-02,99,10,375,521,816,627
200,2025-05-02,100,10,210,477,873,341
201,2025-05-03,1,1,860,729,461,335
202,2025-05-03,2,1,895,816,495,617
203,2025-05-03,3,1,561,1084,522,739
204,2025-05-03,4,1,776,352,952,829
205,2025-05-03,5,1,802,593,640,608
206,2025-05-03,6,1,598,693,1059,1101
207,2025-05-03,7,1,951,1354,820,899
208,2025-05-03,8,1,778,923,999,543
209,2025-05-03,9,1,810,1009,1222,424
210,2025-05-03,10,1,274,1172,560,944
211,2025-05-03,11,2,647,695,937,1077
212,2025-05-03,12,2,867,202,707,1134
213,2025-05-03,13,2,510,774,351,1132
214,2025-05-03,14,2,532,971,805,638
215,2025-05-03,15,2,0,0,0,0
216,2025-05-03,16,2,576,861,397,843
217,2025-05-03,17,2,739,593,1017,362
218,2025-05-03,18,2,631,957,896,829
219,2025-05-03,19,2,238,233,842,848
220,2025-05-03,20,2,1189,418,467,924
221,2025-05-03,21,3,829,920,358,1057
222,2025-05-03,22,3,0,0,0,0
223,2025-05-03,23,3,380,671,729,475
224,2025-05-03,24,3,804,614,717,692
225,2025-05-03,25,3,1093,630,624,1211
226,2025-05-03,26,3,497,432,1218,382
227,2025-05-03,27,3,655,756,934,891
228,2025-05-03,28,3,824,1138,798,825
229,2025-05-03,29,3,950,375,993,985
230,2025-05-03,30,3,744,925,423,681
231,2025-05-03,31,4,912,545,446,639
232,2025-05-03,32,4,681,810,645,324
233,2025-05-03,33,4,0,0,0,0
234,2025-05-03,34,4,320,654,725,143
235,2025-05-03,35,4,715,486,1131,1203
236,2025-05-03,36,4,620,912,81,327
237,2025-05-03,37,4,389,131,742,79
238,2025-05-03,38,4,615,1013,760,915
239,2025-05-03,39,4,930,1119,386,669
240,2025-05-03,40,4,817,557,1219,483
241,2025-05-03,41,5,0,0,0,0
242,2025-05-03,42,5,691,547,333,1296
243,2025-05-03,43,5,1161,642,884,404
244,2025-05-03,44,5,811,357,979,501
245,2025-05-03,45,5,1032,992,1089,870
246,2025-05-03,46,5,427,976,547,994
247,2025-05-03,47,5,748,550,836,375
248,2025-05-03,48,5,811,576,566,422
249,2025-05-03,49,5,754,547,680,514
250,2025-05-03,50,5,204,340,340,182
251,2025-05-03,51,6,787,635,945,458
252,2025-05-03,52,6,882,764,679,1002
253,2025-05-03,53,6,900,535,647,624
254,2025-05-03,54,6,957,822,1210,155
255,2025-05-03,55,6,522,311,422,396
256,2025-05-03,56,6,758,1018,1062,552
257,2025-05-03,57,6,800,816,1011,614
258,2025-05-03,58,6,645,768,857,694
259,2025-05-03,59,6,680,673,715,443
260,2025-05-03,60,6,654,932,762,888
261,2025-05-03,61,7,653,1012,413,458
262,2025-05-03,62,7,575,346,630,348
263,2025-05-03,63,7,525,862,719,1298
264,2025-05-03,64,7,629,139,407,543
265,2025-05-03,65,7,1024,374,572,653
266,2025-05-03,66,7,591,917,1032,1185
267,2025-05-03,67,7,652,692,510,986
268,2025-05-03,68,7,980,915,706,527
269,2025-05-03,69,7,236,379,460,283
270,2025-05-03,70,7,1038,854,666,764
271,2025-05-03,71,8,350,1208,958,513
272,2025-05-03,72,8,1313,639,680,590
273,2025-05-03,73,8,521,1014,1122,777
274,2025-05-03,74,8,977,567,937,588
275,2025-05-03,75,8,906,700,522,362
276,2025-05-03,76,8,1056,552,1062,907
277,2025-05-03,77,8,872,743,1137,448
278,2025-05-03,78,8,739,895,509,841
279,2025-05-03,79,8,975,856,986,815
280,2025-05-03,80,8,1044,865,785,1071
281,2025-05-03,81,9,806,516,936,555
282,2025-05-03,82,9,948,933,678,668
283,2025-05-03,83,9,698,219,494,423
284,2025-05-03,84,9,725,1005,514,603
285,2025-05-03,85,9,640,984,1038,891
286,2025-05-03,86,9,648,458,830,664
287,2025-05-03,87,9,699,718,996,813
288,2025-05-03,88,9,957,728,524,993
289,2025-05-03,89,9,0,0,0,0
290,2025-05-03,90,9,577,257,1343,856
291,2025-05-03,91,10,663,572,940,893
292,2025-05-03,92,10,570,557,911,779
293,2025-05-03,93,10,953,649,676,939
294,2025-05-03,94,10,1102,734,697,819
295,2025-05-03,95,10,895,406,772,425
296,2025-05-03,96,10,0,0,0,0
297,2025-05-03,97,10,743,893,851,905
298,2025-05-03,98,10,710,686,779,684
299,2025-05-03,99,10,651,825,1092,931
300,2025-05-03,100,10,621,771,1157,807
301,2025-05-04,1,1,1234,932,504,471
302,2025-05-04,2,1,1092,837,840,659
303,2025-05-04,3,1,716,1488,1011,962
304,2025-05-04,4,1,979,597,1036,1036
305,2025-05-04,5,1,1234,616,987,670
306,2025-05-04,6,1,768,974,1221,1232
307,2025-05-04,7,1,969,1702,1291,917
308,2025-05-04,8,1,0,0,0,0
309,2025-05-04,9,1,0,0,0,0
310,2025-05-04,10,1,567,1622,972,1228
311,2025-05-04,11,2,721,1005,1109,1472
312,2025-05-04,12,2,1364,672,1195,1341
313,2025-05-04,13,2,544,802,435,1317
314,2025-05-04,14,2,652,1436,881,1039
315,2025-05-04,15,2,691,485,820,543
316,2025-05-04,16,2,0,0,0,0
317,2025-05-04,17,2,949,634,1112,372
318,2025-05-04,18,2,709,1234,960,919
319,2025-05-04,19,2,457,376,1214,1302
320,2025-05-04,20,2,1201,844,665,1145
321,2025-05-04,21,3,902,1190,795,1460
322,2025-05-04,22,3,0,0,0,0
323,2025-05-04,23,3,0,0,0,0
324,2025-05-04,24,3,835,800,1011,1079
325,2025-05-04,25,3,1170,1000,956,1421
326,2025-05-04,26,3,947,930,1353,514
327,2025-05-04,27,3,1014,779,1051,1343
328,2025-05-04,28,3,1013,1169,901,901
329,2025-05-04,29,3,1449,719,1484,1016
330,2025-05-04,30,3,1015,1001,753,1028
331,2025-05-04,31,4,1326,953,601,926
332,2025-05-04,32,4,699,994,1126,697
333,2025-05-04,33,4,978,578,549,455
334,2025-05-04,34,4,564,961,991,409
335,2025-05-04,35,4,1101,931,1342,1561
336,2025-05-04,36,4,896,1295,483,430
337,2025-05-04,37,4,627,347,1229,460
338,2025-05-04,38,4,650,1334,1148,1062
339,2025-05-04,39,4,1195,1206,839,866
340,2025-05-04,40,4,1146,822,1286,552
341,2025-05-04,41,5,0,0,0,0
342,2025-05-04,42,5,989,782,371,1726
343,2025-05-04,43,5,1246,1121,1060,787
344,2025-05-04,44,5,1297,444,1279,555
345,2025-05-04,45,5,1093,1008,1262,1296
346,2025-05-04,46,5,739,1362,1032,996
347,2025-05-04,47,5,1084,846,1007,824
348,2025-05-04,48,5,1151,582,815,749
349,2025-05-04,49,5,1072,571,1131,911
350,2025-05-04,50,5,581,685,420,665
351,2025-05-04,51,6,1139,1071,1359,727
352,2025-05-04,52,6,949,816,943,1385
353,2025-05-04,53,6,0,0,0,0
354,2025-05-04,54,6,1160,1258,1286,509
355,2025-05-04,55,6,709,599,733,517
356,2025-05-04,56,6,969,1482,1460,974
357,2025-05-04,57,6,1123,873,1062,908
358,2025-05-04,58,6,766,1100,1137,1139
359,2025-05-04,59,6,927,1030,829,668
360,2025-05-04,60,6,817,1325,852,1161
361,2025-05-04,61,7,686,1083,820,728
362,2025-05-04,62,7,1058,359,722,733
363,2025-05-04,63,7,680,1348,1145,1354
364,2025-05-04,64,7,930,360,723,662
365,2025-05-04,65,7,1332,641,970,1081
366,2025-05-04,66,7,900,1072,1260,1425
367,2025-05-04,67,7,1129,1081,738,1091
368,2025-05-04,68,7,1393,982,938,717
369,2025-05-04,69,7,260,564,481,404
370,2025-05-04,70,7,1501,1218,784,920
371,2025-05-04,71,8,0,0,0,0
372,2025-05-04,72,8,1638,1004,844,869
373,2025-05-04,73,8,780,1263,1136,843
374,2025-05-04,74,8,1474,898,1378,1058
375,2025-05-04,75,8,1343,1118,868,684
376,2025-05-04,76,8,1293,945,1534,1301
377,2025-05-04,77,8,878,1119,1557,742
378,2025-05-04,78,8,834,912,651,1007
379,2025-05-04,79,8,1304,1074,1094,1112
380,2025-05-04,80,8,1345,1341,1118,1211
381,2025-05-04,81,9,999,926,1060,579
382,2025-05-04,82,9,1342,975,863,970
383,2025-05-04,83,9,705,653,736,889
384,2025-05-04,84,9,778,1288,662,868
385,2025-05-04,85,9,720,1373,1116,953
386,2025-05-04,86,9,0,0,0,0
387,2025-05-04,87,9,1133,1036,1329,1290
388,2025-05-04,88,9,969,1036,613,1487
389,2025-05-04,89,9,507,928,790,654
390,2025-05-04,90,9,0,0,0,0
391,2025-05-04,91,10,835,986,1131,1306
392,2025-05-04,92,10,939,575,1215,844
393,2025-05-04,93,10,969,762,1086,1438
394,2025-05-04,94,10,1248,1204,744,899
395,2025-05-04,95,10,1091,789,998,780
396,2025-05-04,96,10,706,1074,1004,870
397,2025-05-04,97,10,0,0,0,0
398,2025-05-04,98,10,918,1149,1067,902
399,2025-05-04,99,10,1013,953,1501,1109
400,2025-05-04,100,10,989,1268,1353,1078
401,2025-05-05,1,1,1427,1094,916,799
402,2025-05-05,2,1,1172,1290,1099,813
403,2025-05-05,3,1,841,1684,1233,1392
404,2025-05-05,4,1,1203,870,1376,1415
405,2025-05-05,5,1,1566,884,1398,1049
406,2025-05-05,6,1,1160,1330,1447,1279
407,2025-05-05,7,1,1178,1942,1370,1205
408,2025-05-05,8,1,1022,1151,1278,1026
409,2025-05-05,9,1,943,1109,1275,814
410,2025-05-05,10,1,760,1692,1301,1580
411,2025-05-05,11,2,953,1476,1204,1766
412,2025-05-05,12,2,1738,767,1408,1640
413,2025-05-05,13,2,888,1081,572,1416
414,2025-05-05,14,2,1131,1768,914,1132
415,2025-05-05,15,2,933,785,1075,945
416,2025-05-05,16,2,741,891,729,994
417,2025-05-05,17,2,1225,1130,1538,444
418,2025-05-05,18,2,966,1516,1048,1117
419,2025-05-05,19,2,873,526,1270,1673
420,2025-05-05,20,2,1339,1135,774,1578
421,2025-05-05,21,3,1291,1276,958,1829
422,2025-05-05,22,3,266,251,80,451
423,2025-05-05,23,3,759,938,841,860
424,2025-05-05,24,3,927,1026,1249,1261
425,2025-05-05,25,3,1399,1307,1273,1576
426,2025-05-05,26,3,1412,1324,1850,552
427,2025-05-05,27,3,1485,1277,1180,1386
428,2025-05-05,28,3,1185,1192,1249,1154
429,2025-05-05,29,3,1673,1081,1854,1396
430,2025-05-05,30,3,1486,1437,949,1101
431,2025-05-05,31,4,1331,1187,971,1314
432,2025-05-05,32,4,892,1464,1489,891
433,2025-05-05,33,4,1272,904,918,906
434,2025-05-05,34,4,889,1301,1416,540
435,2025-05-05,35,4,1538,1044,1581,1717
436,2025-05-05,36,4,1269,1398,492,453
437,2025-05-05,37,4,732,512,1428,795
438,2025-05-05,38,4,802,1577,1620,1217
439,2025-05-05,39,4,1619,1538,1209,896
440,2025-05-05,40,4,1479,1183,1316,657
441,2025-05-05,41,5,104,431,129,97
442,2025-05-05,42,5,1063,1148,789,1994
443,2025-05-05,43,5,1721,1177,1483,1046
444,2025-05-05,44,5,1644,848,1400,867
445,2025-05-05,45,5,1112,1502,1674,1469
446,2025-05-05,46,5,1228,1567,1463,1056
447,2025-05-05,47,5,1458,1081,1417,1222
448,2025-05-05,48,5,1298,858,1267,1234
449,2025-05-05,49,5,1227,837,1592,1346
450,2025-05-05,50,5,639,1083,691,846
451,2025-05-05,51,6,1224,1243,1512,731
452,2025-05-05,52,6,1342,929,1377,1783
453,2025-05-05,53,6,0,0,0,0
454,2025-05-05,54,6,1473,1684,1347,593
455,2025-05-05,55,6,826,621,905,626
456,2025-05-05,56,6,986,1814,1895,1373
457,2025-05-05,57,6,1430,944,1245,1099
458,2025-05-05,58,6,1113,1464,1276,1497
459,2025-05-05,59,6,1040,1110,1274,780
460,2025-05-05,60,6,1175,1376,885,1209
461,2025-05-05,61,7,1124,1213,1314,910
462,2025-05-05,62,7,0,0,0,0
463,2025-05-05,63,7,1001,1702,1512,1372
464,2025-05-05,64,7,1136,821,1018,1001
465,2025-05-05,65,7,1373,880,1129,1558
466,2025-05-05,66,7,1254,1563,1521,1451
467,2025-05-05,67,7,1141,1360,1065,1478
468,2025-05-05,68,7,1457,1374,1031,803
469,2025-05-05,69,7,437,765,722,510
470,2025-05-05,70,7,1577,1564,1275,1193
471,2025-05-05,71,8,489,1350,1238,789
472,2025-05-05,72,8,1835,1073,906,923
473,2025-05-05,73,8,868,1501,1434,1011
474,2025-05-05,74,8,1618,950,1834,1113
475,2025-05-05,75,8,1397,1554,1010,952
476,2025-05-05,76,8,1328,1427,1548,1464
477,2025-05-05,77,8,1153,1264,1798,1002
478,2025-05-05,78,8,1064,952,1031,1439
479,2025-05-05,79,8,1317,1408,1412,1281
480,2025-05-05,80,8,1719,1763,1413,1706
481,2025-05-05,81,9,1318,1072,1469,1035
482,2025-05-05,82,9,1391,1083,1314,1446
483,2025-05-05,83,9,992,1133,847,1211
484,2025-05-05,84,9,1113,1418,1018,969
485,2025-05-05,85,9,778,1696,1362,1003
486,2025-05-05,86,9,778,657,1229,856
487,2025-05-05,87,9,1202,1129,1510,1633
488,2025-05-05,88,9,1086,1534,920,1947
489,2025-05-05,89,9,820,1300,1165,895
490,2025-05-05,90,9,1022,493,1543,1150
491,2025-05-05,91,10,1234,1357,1362,1674
492,2025-05-05,92,10,975,757,1666,1219
493,2025-05-05,93,10,1401,961,1202,1928
494,2025-05-05,94,10,1327,1654,985,1267
495,2025-05-05,95,10,1539,1186,1007,1038
496,2025-05-05,96,10,932,1459,1148,1344
497,2025-05-05,97,10,882,1313,1073,1326
498,2025-05-05,98,10,952,1306,1096,926
499,2025-05-05,99,10,1212,1410,1565,1349
500,2025-05-05,100,10,1397,1762,1624,1317
501,2025-05-06,1,1,1520,1326,1190,1140
502,2025-05-06,2,1,1571,1787,1482,1025
503,2025-05-06,3,1,1012,1863,1337,1780
504,2025-05-06,4,1,1553,1296,1841,1575
505,2025-05-06,5,1,1836,1341,1497,1444
506,2025-05-06,6,1,1404,1819,1776,1687
507,2025-05-06,7,1,1511,2292,1659,1556
508,2025-05-06,8,1,1333,1498,1769,1477
509,2025-05-06,9,1,962,1168,1748,827
510,2025-05-06,10,1,1188,2164,1738,1594
511,2025-05-06,11,2,990,1506,1577,2082
512,2025-05-06,12,2,0,0,0,0
513,2025-05-06,13,2,1017,1565,962,1868
514,2025-05-06,14,2,0,0,0,0
515,2025-05-06,15,2,1140,882,1357,1390
516,2025-05-06,16,2,1165,1060,1175,1113
517,2025-05-06,17,2,1641,1466,1889,509
518,2025-05-06,18,2,1345,1900,1084,1133
519,2025-05-06,19,2,1211,661,1365,1965
520,2025-05-06,20,2,0,0,0,0
521,2025-05-06,21,3,1682,1573,1387,2326
522,2025-05-06,22,3,683,588,332,550
523,2025-05-06,23,3,0,0,0,0
524,2025-05-06,24,3,1059,1121,1365,1474
525,2025-05-06,25,3,1753,1697,1279,1791
526,2025-05-06,26,3,1883,1714,1892,631
527,2025-05-06,27,3,1774,1396,1539,1731
528,2025-05-06,28,3,1339,1641,1646,1577
529,2025-05-06,29,3,1933,1345,2097,1660
530,2025-05-06,30,3,1616,1726,953,1533
531,2025-05-06,31,4,1497,1457,1014,1501
532,2025-05-06,32,4,1229,1563,1664,1044
533,2025-05-06,33,4,1338,1071,971,1245
534,2025-05-06,34,4,1039,1530,1801,978
535,2025-05-06,35,4,1573,1259,1863,1898
536,2025-05-06,36,4,1471,1852,927,634
537,2025-05-06,37,4,828,577,1443,820
538,2025-05-06,38,4,1260,1967,1643,1698
539,2025-05-06,39,4,2016,1579,1597,1138
540,2025-05-06,40,4,1602,1258,1745,822
541,2025-05-06,41,5,518,634,456,124
542,2025-05-06,42,5,1402,1572,1007,2117
543,2025-05-06,43,5,1732,1526,1954,1210
544,2025-05-06,44,5,1870,1035,1419,1284
545,2025-05-06,45,5,1250,1630,1717,1592
546,2025-05-06,46,5,1543,1840,1603,1133
547,2025-05-06,47,5,0,0,0,0
548,2025-05-06,48,5,1602,897,1546,1615
549,2025-05-06,49,5,1423,1002,1614,1415
550,2025-05-06,50,5,954,1511,878,943
551,2025-05-06,51,6,1389,1446,1622,1144
552,2025-05-06,52,6,1458,975,1756,1804
553,2025-05-06,53,6,87,119,376,365
554,2025-05-06,54,6,1690,1921,1658,705
555,2025-05-06,55,6,1176,1112,947,989
556,2025-05-06,56,6,1015,1834,2339,1592
557,2025-05-06,57,6,1609,1174,1547,1470
558,2025-05-06,58,6,1316,1680,1340,1588
559,2025-05-06,59,6,1117,1271,1509,1116
560,2025-05-06,60,6,0,0,0,0
561,2025-05-06,61,7,1278,1398,1470,1108
562,2025-05-06,62,7,1392,812,1018,974
563,2025-05-06,63,7,1238,1747,1889,1591
564,2025-05-06,64,7,1420,1161,1306,1057
565,2025-05-06,65,7,1760,946,1324,1879
566,2025-05-06,66,7,1502,1947,2017,1880
567,2025-05-06,67,7,1455,1566,1155,1484
568,2025-05-06,68,7,1956,1417,1365,1270
569,2025-05-06,69,7,684,815,1000,995
570,2025-05-06,70,7,1918,2013,1311,1593
571,2025-05-06,71,8,966,1536,1260,976
572,2025-05-06,72,8,2128,1081,1394,1079
573,2025-05-06,73,8,1192,1613,1920,1022
574,2025-05-06,74,8,2005,1294,2247,1537
575,2025-05-06,75,8,1411,1705,1035,1084
576,2025-05-06,76,8,1719,1916,1651,1663
577,2025-05-06,77,8,1284,1566,2200,1455
578,2025-05-06,78,8,1289,1017,1292,1726
579,2025-05-06,79,8,1368,1677,1690,1350
580,2025-05-06,80,8,2048,1897,1675,1903
581,2025-05-06,81,9,1344,1433,1569,1159
582,2025-05-06,82,9,1506,1114,1521,1591
583,2025-05-06,83,9,1175,1504,1039,1319
584,2025-05-06,84,9,1125,1811,1127,1212
585,2025-05-06,85,9,1241,2139,1700,1035
586,2025-05-06,86,9,1016,1033,1338,1328
587,2025-05-06,87,9,1288,1623,1547,1659
588,2025-05-06,88,9,1247,1875,1270,2308
589,2025-05-06,89,9,1049,1781,1467,1095
590,2025-05-06,90,9,1133,517,1637,1194
591,2025-05-06,91,10,1428,1564,1655,1743
592,2025-05-06,92,10,1143,807,1942,1703
593,2025-05-06,93,10,1858,1259,1386,2155
594,2025-05-06,94,10,1745,1751,1071,1572
595,2025-05-06,95,10,1625,1274,1201,1336
596,2025-05-06,96,10,1322,1476,1451,1725
597,2025-05-06,97,10,1031,1515,1133,1356
598,2025-05-06,98,10,1060,1602,1461,1245
599,2025-05-06,99,10,1305,1888,1899,1795
600,2025-05-06,100,10,1710,2214,2078,1617
601,2025-05-07,1,1,2007,1665,1432,1514
602,2025-05-07,2,1,1616,1972,1756,1499
603,2025-05-07,3,1,1219,2243,1702,2065
604,2025-05-07,4,1,1958,1779,2011,1856
605,2025-05-07,5,1,1916,1703,1568,1752
606,2025-05-07,6,1,1706,2010,2219,2136
607,2025-05-07,7,1,1674,2353,1685,1869
608,2025-05-07,8,1,1655,1933,2199,1963
609,2025-05-07,9,1,1311,1345,1924,925
610,2025-05-07,10,1,1380,2280,2149,1897
611,2025-05-07,11,2,1222,1912,1818,2471
612,2025-05-07,12,2,1767,812,1855,1653
613,2025-05-07,13,2,1426,1722,1089,2295
614,2025-05-07,14,2,1140,2116,1040,1286
615,2025-05-07,15,2,1456,1219,1541,1784
616,2025-05-07,16,2,0,0,0,0
617,2025-05-07,17,2,1995,1777,1991,566
618,2025-05-07,18,2,1528,2197,1163,1584
619,2025-05-07,19,2,1469,709,1451,2064
620,2025-05-07,20,2,1494,1211,1095,1772
621,2025-05-07,21,3,2129,1978,1448,2815
